Position ,Total years of experience,Seniority level,Yearly brutto salary (without bonus and stocks) in EUR,Employment status,Сontract duration,Company size,Company type,"Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR",Programming languages,Frameworks / Libs,Databases,Design,Clouds,Platform,DevOps tools
Data Scientist,1,Junior,38000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,0,Python; ,,,,,,
Data analyst ,1,Junior,36000,Full-time employee,Unlimited contract,1000+,Startup,500,,,,,,,
Software Engineer,3,Junior,65000,Full-time employee,Unlimited contract,1000+,Finance,,,.NET; ,,,,,
Software Engineer,10,Principal,100000,Full-time employee,Unlimited contract,1000+,Product,800,Java; ,,,,,,
Designer (UI/UX),20,Senior,36000,Self-employed (freelancer),Temporary contract,,,,PHP; ,,,,,,
Software Engineer,9,Senior,60000,Full-time employee,Temporary contract,1000+,Research,,,.NET; ,,,,,
Software Engineer,9,Senior,60000,Full-time employee,Temporary contract,1000+,Research,,,.NET; ,,,,,
Software Engineer,6,Middle,100000,Full-time employee,Unlimited contract,011-050,Product,,C++; ,,,,,,
Frontend Developer,5,Middle,66000,Full-time employee,Unlimited contract,1000+,Product,500,,,,,,,
Backend Developer,15,Middle,73000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,Elixir; ,,,,,,
Software Engineer,4,Middle,64000,Full-time employee,Unlimited contract,1000+,Product,,C#; ,,,,,,
Product Analyst,4,Middle,55000,Full-time employee,Unlimited contract,1000+,Product,100,Python; ,,,,,,
Software Engineer,5,Middle,74000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
QA Engineer,11,Senior,60000,Full-time employee,Unlimited contract,1000+,Product,,,,,,,,
DevOps,8,Senior,67500,Full-time employee,Unlimited contract,101-1000,Product,,,,,,,,
Software Engineer,13,Head,90000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
DevOps,17,Head,124000,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
QA Engineer,16,Middle,65000,Full-time employee,Unlimited contract,011-050,Startup,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,7,Senior,75000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Software Engineer,8,Senior,57000,Full-time employee,Unlimited contract,51-100,Product,0,PHP; ,,,,,,
Software Engineer,8,Senior,57000,Full-time employee,Unlimited contract,51-100,Product,0,PHP; ,,,,,,
Backend Developer,16,Lead,120000,Full-time employee,Unlimited contract,101-1000,Startup,,Scala; ,,,,,,
Frontend Developer,2,Junior,24000,Full-time employee,Unlimited contract,011-050,Product,-,JavaScript; ,,,,,,
Backend Developer,7,Senior,60000,Full-time employee,Unlimited contract,0-10,Product,,No info,No info,No info,No info,No info,No info,No info
Backend Developer,4,Middle,58000,Full-time employee,Unlimited contract,101-1000,Product,500,Python; ,,,,,,
Software Engineer,12,Middle,75000,Full-time employee,Unlimited contract,1000+,Product,,Kotlin; ,,,,,,
Software Engineer,10,Middle,71000,Full-time employee,Unlimited contract,101-1000,Product,,,,,,,iOS; ,
DevOps,15,Junior,52500,Full-time employee,Unlimited contract,011-050,Product,,Bash; ,,,,,,
Team lead,,Lead,85000,Full-time employee,Unlimited contract,51-100,Startup,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,5,Middle,50000,Full-time employee,Unlimited contract,101-1000,Product,0,Java; ,,,,,,
Backend Developer,19,Senior,66000,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
Backend Developer,14,Senior,95000,Full-time employee,Unlimited contract,1000+,Product,300,Kotlin; ,,,,,,
Backend Developer,0,Junior,50000,Full-time employee,Unlimited contract,0-10,Startup,0,Python; ,,,,,,
Frontend Developer,5,Lead,70000,Full-time employee,Unlimited contract,011-050,Startup,,,,,,,,
Data Scientist,5,Senior,87000,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Software Engineer,4,Senior,68000,Full-time employee,Unlimited contract,101-1000,Startup,0,Python; ,,,,,,
It Consulting ,2,Junior,54000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,150,,,,,,,
Software Engineer,13,Lead,83000,Full-time employee,Unlimited contract,1000+,Product,,JavaScript; ,,,,,,
ML Engineer,6,Senior,110000,Full-time employee,Unlimited contract,101-1000,Startup,80,Python; ,,,,,,
Software Engineer,6,Senior,93000,Full-time employee,Unlimited contract,011-050,Startup,,TypeScript; ,,,,,,
Data Scientist,4,Middle,73700,Full-time employee,Unlimited contract,1000+,Product,200,Python; ,,,,,,
Data Scientist,10,Senior,85000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,300,Python; ,,,,,,
Data Scientist,10,Senior,87550,Full-time employee,Unlimited contract,101-1000,Product,600 nett,Python; ,,,,,,
Software Engineer,16,Senior,80000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Backend Developer,9,Senior,65000,Full-time employee,Unlimited contract,51-100,Startup,0,JavaScript; TypeScript; ,NodeJS; ,,,,,
Backend Developer,15,Middle,40700,Full-time employee,Unlimited contract,011-050,Consulting / Agency,,PHP; ,,MySQL; ,,,,
Product Manager,3,Senior,48000,Full-time employee,Unlimited contract,1000+,Product,0,No info,No info,No info,No info,No info,No info,No info
ML Engineer,2,Middle,60000,Full-time employee,Unlimited contract,011-050,Product,,Python; ,,,,,,
Frontend Developer,13,Middle,47745,"full-time, but 32 hours per week (it was my request, I'm a student)",Unlimited contract,1000+,Product,0,TypeScript; ,Angular; ,,,,,
Data Scientist,2.5,Junior,60000,Full-time employee,Unlimited contract,0-10,corporate incubator,no,Python; ,,,,,,
Software Engineer,1,Junior,43500,Full-time employee,Unlimited contract,51-100,Startup,,C#; ,,,,,,
Software Engineer,7,Senior,60000,Full-time employee,Unlimited contract,51-100,Product,0,Java; ,,,,,,
CTO,27,Head,90000,Founder,Unlimited contract,011-050,Consulting / Agency,,No info,No info,No info,No info,No info,No info,No info
Designer (UI/UX),5,Senior,60000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,No info,No info,No info,No info,No info,No info,No info
Data architect,19,Senior,90000,Full-time employee,Unlimited contract,1000+,Multinational ,100,No info,No info,No info,No info,No info,No info,No info
Software Engineer,15,Senior,120000,Full-time employee,Unlimited contract,1000+,Product,700,C; ,,,,,,
Software Engineer,14,Senior,98000,Full-time employee,Unlimited contract,1000+,Product,400,C++; ,,,,,,
ML Engineer,2,Middle,51000,Full-time employee,Temporary contract,0-10,Startup,,Python; ,,,,,,
Software Engineer,4,Senior,69000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Data Scientist,6,Middle,57000,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Data Scientist,1.5,Middle,49850,Full-time employee,Unlimited contract,011-050,Startup,150,Python; ,,,,,,
Backend Developer,2,Middle,50000,Full-time employee,Unlimited contract,101-1000,Product,20%,PHP; ,,,,,,
Software Engineer,12,Middle,65000,Full-time employee,Unlimited contract,1000+,Product,200,PHP; ,,,,,,
IT Manager,5,Middle,73000,Full-time employee,Unlimited contract,1000+,Industry,150,No info,No info,No info,No info,No info,No info,No info
ML Engineer,4,Middle,37500,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,Python; ,,,,AWS; ,,
Backend Developer,3,Middle,65000,Full-time employee,Unlimited contract,1000+,Product,0,Python; ,,,,,,
Backend Developer,4,Middle,42000,Full-time employee,Unlimited contract,51-100,Consulting / Agency,750,Java; ,,,,,,
Staff Engineer,15,Lead,85000,Full-time employee,Unlimited contract,1000+,Product,1100,Golang; ,,,,,,
Designer (UI/UX),5,Senior,70000,Self-employed (freelancer),Unlimited contract,0-10,Startup,,Java; ,,,,,,
Software Engineer,2,Junior,45000,Full-time employee,Unlimited contract,1000+,Bank,,Java; ,,,,,,
Head of IT,3,Head,100000,Full-time employee,Unlimited contract,51-100,Product,0,Python; ,,,,,,
Backend Developer,13,Senior,68000,Full-time employee,Unlimited contract,1000+,Product,,PHP; ,,,,,,
Computational linguist,5,Middle,50400,Full-time employee,Unlimited contract,011-050,Product,0,Java; ,,,,,,
Rentner,383,Head,70000,,,011-050,Consulting / Agency,,No info,No info,No info,No info,No info,No info,No info
Product Analyst,4,Junior,55000,Full-time employee,Unlimited contract,1000+,Product,No,,,,,,,
Data Scientist,5,Middle,55000,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
Data Engineer,15,Lead,90000,Full-time employee,,101-1000,Product,0,,,,,,,
Data Scientist,5,Senior,75000,Full-time employee,,101-1000,Product,,Python; ,,,,,,
Backend Developer,10,Senior,80000,Full-time employee,Unlimited contract,011-050,Startup,,JavaScript; ,NodeJS; ,,,,,
Software Engineer,5,Senior,61000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,1500,C; C++; ,,,,,,
Data Engineer,4,Middle,50000,Full-time employee,Unlimited contract,101-1000,Product,200,Python; ,,,,,,
technical business analyst,5,Middle,69000,Full-time employee,Unlimited contract,0-10,Product,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,10,Lead,75000,Full-time employee,Unlimited contract,101-1000,Product,,Swift; ,,,,,,
QA Engineer,12,Senior,95000,Full-time employee,Unlimited contract,1000+,Product,800,No info,No info,No info,No info,No info,No info,No info
Frontend Developer,7,Senior,70000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,JavaScript; ,,,,,,
Software Engineer,10,Senior,74000,Full-time employee,Unlimited contract,1000+,Product,,C++; ,,,,,,
Data Scientist,5,Middle,65000,Full-time employee,Unlimited contract,101-1000,Product,1500,Python; ,,,,,,
Data Scientist,5,Middle,65000,Full-time employee,Unlimited contract,101-1000,Product,1500,Python; ,,,,,,
DevOps,10,Lead,85000,Full-time employee,Unlimited contract,1000+,Product,0,No info,No info,No info,No info,No info,No info,No info
Product Manager,8,Lead,110000,,,1000+,Product,,No info,No info,No info,No info,No info,No info,No info
DevOps,3,Junior,77000,Full-time employee,Unlimited contract,1000+,FAANG,,Golang; ,,,,,,
Software Engineer,10,Senior,60000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,Java; ,,,,,,
DevOps,6,Middle,60000,Full-time employee,Unlimited contract,51-100,Consulting / Agency,,JavaScript; ,NodeJS; ,,,,,
Software Engineer,2,Junior,68000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Full-Stack Developer,1,Junior,45500,Full-time employee,Unlimited contract,51-100,Startup,,JavaScript; TypeScript; ,,,,,,
DevOps,12,Middle,72000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Data Scientist,4,Senior,67000,Full-time employee,Unlimited contract,51-100,Product,,Python; ,,,,,,
DevOps,17,Senior,85000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,,,,,,Linux; ,
Backend Developer,10,Senior,75000,Full-time employee,Unlimited contract,101-1000,Product,500,Java; ,,,,,,
Backend Developer,13,Senior,70000,Full-time employee,Unlimited contract,51-100,Product,,Java; ,,,,,,
DevOps,7,Senior,82000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,500,,,,,,,Kubernetes; 
Software Engineer,15,Senior,85000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Software Engineer,11,Senior,70000,Full-time employee,Unlimited contract,51-100,Startup,,C; C++; ,,,,,,
Product Manager,4,Middle,60000,Full-time employee,Unlimited contract,101-1000,Startup,,No info,No info,No info,No info,No info,No info,No info
Frontend Developer,4,Middle,45000,Full-time employee,Unlimited contract,101-1000,Product,I was able to move all equipment I need to work to home,JavaScript; TypeScript; ,,,,,,
ML Engineer,0.8,Junior,11500,Werkstudent,Temporary contract,011-050,Consulting / Agency,,Python; ,,,,,,
CTO,14,Lead,84000,Full-time employee,Unlimited contract,011-050,Product,,C#; ,,,,,,
Data Scientist,2,Senior,80000,Full-time employee,Unlimited contract,1000+,Old industry,0,Python; ,,,,,,
QA Manager,7,Middle,46000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Mobile Developer,8,Senior,75000,Full-time employee,Unlimited contract,1000+,Product,,Swift; ,,,,,,
Mobile Developer,8,Middle,40000,Self-employed (freelancer),Temporary contract,101-1000,Product,,C++; ,,,,,,
Software Engineer,15,Head,100000,Founder,Unlimited contract,011-050,Consulting / Agency,,,,,,,,
Product Manager,18,Lead,115000,Full-time employee,Unlimited contract,1000+,Product,800,,.NET; ,,,,,
Software Engineer,15,Senior,99000,Full-time employee,Unlimited contract,1000+,Product,,Kotlin; ,,,,,,
Backend Developer,8,Lead,90000,Full-time employee,Unlimited contract,101-1000,Product,,JavaScript; ,NodeJS; ,,,,,
QA Lead,15,Lead,72000,Full-time employee,Unlimited contract,011-050,Product,,Java; JavaScript; ,,,,,,
ML Engineer,5,Middle,54000,Full-time employee,Unlimited contract,0-10,Startup,No,Python; ,Pytorch; ,,,,,
Designer (UI/UX),10,Senior,45000,Full-time employee,Unlimited contract,0-10,Product,0,,React; ,,Sketch; ,,,
Software Engineer,10,Senior,65000,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
Backend Developer,20,Lead,80000,Full-time employee,Unlimited contract,1000+,Startup,,Java; ,,,,,,
Robotics Engineer,3,Middle,45000,Full-time employee,Unlimited contract,0-10,Startup,0,C++; ,,,,,,
ML Engineer,2.5,Middle,60000,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Software Engineer,15,Lead,75000,Full-time employee,Unlimited contract,51-100,Startup,,Java; ,,,,,,
Data Scientist,6,Senior,92000,Full-time employee,Unlimited contract,0-10,Startup,0,Python; ,,,,,,
DevOps,15,Lead,90000,Full-time employee,Unlimited contract,101-1000,Startup,1200,No info,No info,No info,No info,No info,No info,No info
Backend Developer,3,Middle,17500,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,Java; ,,,,,,
Software Engineer,2,Middle,63000,Full-time employee,Unlimited contract,101-1000,Product,100,JavaScript; ,,,,,,
Software Engineer,4,Middle,65000,Full-time employee,Unlimited contract,101-1000,Product,,Scala; ,Apache Spark; ,,,,,
Data Scientist,7,Head,75000,Full-time employee,Unlimited contract,011-050,Startup,No,Python; ,,,,,,
Software Engineer,30,Lead,110000,Full-time employee,Unlimited contract,51-100,Product,,C++; ,,,,,,
Data Scientist,4.5,Middle,60000,Full-time employee,Unlimited contract,51-100,Startup,,Python; ,,,,,,
Software Engineer,5,Senior,70000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Software Engineer,5,Senior,70000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
QA Engineer,6,Middle,70000,Full-time employee,Unlimited contract,1000+,Product,1000,Python; ,,,,,,
Software Engineer,6,Senior,70000,Full-time employee,Unlimited contract,1000+,Product,600,Python; ,,,,,,
Mobile Developer,3.5,Middle,70000,Full-time employee,Unlimited contract,1000+,Product,140,Objective-C; Swift; ,,,,,,
Data Engineer,0,Junior,40000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,Python; ,,,,,,
Frontend Developer,7,Middle,62000,Full-time employee,Unlimited contract,101-1000,Product,,JavaScript; TypeScript; ,React; ,,,,,
Data Engineer,14,Middle,57000,Full-time employee,Unlimited contract,101-1000,Product,,,,DWH; ,ETL; ,,,
Backend Developer,9,Senior,90000,Full-time employee,Unlimited contract,101-1000,Product,650,Scala; ,,,,,,
Product Manager,5,Senior,60000,Full-time employee,Unlimited contract,101-1000,Startup,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,11,Senior,72500,Full-time employee,Unlimited contract,1000+,Product,600,Scala; ,,,,,,
Backend Developer,9,Senior,75000,Full-time employee,Unlimited contract,1000+,Startup,,Scala; ,,,,,,
Backend Developer,9,Senior,85000,Full-time employee,Unlimited contract,1000+,Product,600,Scala; ,,,,,,
Mobile Developer,16,Lead,62500,Full-time employee,Unlimited contract,51-100,Product,0,Java; ,,,,,,
Software Engineer,7,Senior,65900,Full-time employee,Unlimited contract,1000+,Product,700,C++; ,,,,,,
Engineering Manager,15,Lead,85000,Full-time employee,Unlimited contract,1000+,Product,600,Java; ,,,,,,
Software Engineer,13,Middle,95000,Full-time employee,Unlimited contract,1000+,Product,800,Java; ,,,,,,
ML Engineer,5,Middle,77500,Full-time employee,Unlimited contract,1000+,Product,700,Python; ,,,,,,
Backend Developer,12,Senior,75000,Full-time employee,Unlimited contract,1000+,Product,1100,Kotlin; ,,,,,,
,,,30000,,,,,,No info,No info,No info,No info,No info,No info,No info
,,,111111,,,,,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,25,Middle,75000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,1500,Python; ,,,,,,
DatabEngineer,4,Middle,30000,Full-time employee,Unlimited contract,51-100,Consulting / Agency,0,,,,,GCP; ,,
Frontend Developer,5,Senior,64000,Full-time employee,Unlimited contract,1000+,Product,,,,,,,,
Project Manager,6,Middle,51000,Full-time employee,Unlimited contract,101-1000,Startup,,,,,,,,
Data Scientist,6,Lead,110000,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Software Engineer,11,Senior,107000,Full-time employee,Unlimited contract,1000+,Product,2000,Scala; ,,,,,,
Backend Developer,12,Senior,100000,Full-time employee,Unlimited contract,1000+,Startup,500,Python; ,,,,,,
Software Engineer,15,Senior,70000,Full-time employee,Unlimited contract,101-1000,Product,800,PHP; ,,,,,,
QA Engineer,15,Senior,70000,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
Software Engineer,15,Senior,68000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,400,PL/SQL; ,,,,,,
Application Consultant,1.5,Junior,46000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,0,,,,,,,
Frontend Developer,10,Senior,100000,Full-time employee,Unlimited contract,101-1000,Startup,0,JavaScript; ,,,,,,
Team Lead,12,Lead,70200,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,500,PHP; ,,,,,,
Backend Developer,7,Senior,75000,Full-time employee,Unlimited contract,101-1000,Product,,Golang; ,,,,,,
Mobile Developer,14,Senior,75000,Full-time employee,Unlimited contract,011-050,Consulting / Agency,0,Swift; ,,,,,,
Software Engineer,9,Senior,85000,Full-time employee,Unlimited contract,011-050,Startup,,,,,,,,
Software Engineer,10,Middle,66000,Full-time employee,Unlimited contract,51-100,Consulting / Agency,,C#; ,,,,,,
DevOps,17,Senior,90000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,0,,,,,AWS; ,,
Consultant,3,Middle,58000,Full-time employee,Unlimited contract,101-1000,Startup,400,Java; ,,,,,,
Software Engineer,11,Senior,90000,Full-time employee,Unlimited contract,1000+,Product,40,Java; Scala; ,,,,,,
QA Engineer,5,Senior,35000,Full-time employee,Temporary contract,101-1000,Product,,Java; ,,,,,,
Software Engineer,10,Senior,47500,Full-time employee,Unlimited contract,011-050,Outsourse,0,Java; ,,,,,,
Backend Developer,10,Lead,65000,Full-time employee,Unlimited contract,011-050,Startup,No,,,,,,,
Backend Developer,5,Middle,72000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Software Engineer,9,Senior,73000,Full-time employee,Unlimited contract,1000+,Product,,C++; ,,,,,,
Backend Developer,4,Middle,50000,Full-time employee,Unlimited contract,011-050,Product,,Ruby; ,Ruby on rails; ,,,,,
Lead Developer,8,Lead,72000,Full-time employee,Unlimited contract,101-1000,,,,.NET; ,,,,,
Software Engineer,1,student,16320,Part-time employee,Unlimited contract,011-050,Startup,,Python; ,,,,,,
Mobile Developer,10,Middle,68000,Full-time employee,Unlimited contract,1000+,Product,650,,,,,,Android; ,
Data Scientist,6,Middle,70000,Full-time employee,Unlimited contract,1000+,Product,300,,,,,,,
Frontend Developer,3,Lead,57600,Full-time employee,Unlimited contract,101-1000,Product,No,JavaScript; ,,,,,,
Software Engineer,8,Senior,68000,Full-time employee,Unlimited contract,51-100,Product,,PHP; ,,,,,,
Backend Developer,5,Senior,75000,Full-time employee,Unlimited contract,101-1000,Product,0,Golang; ,,,,,,
Software Engineer,14,Lead,95000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Backend Developer,10,Lead,82000,Full-time employee,Unlimited contract,101-1000,Startup,,Java; ,,,,,,
Backend Developer,14,Lead,90000,Full-time employee,Unlimited contract,1000+,Product,,C#; ,,,,,,
Software Engineer,8,Senior,52000,Full-time employee,Unlimited contract,011-050,Product,0,C++; C#; ,,,,,,
Mobile Developer,5,Middle,65000,Full-time employee,Unlimited contract,51-100,Startup,,Kotlin; ,,,,,,
Software Engineer,12,Lead,100000,Full-time employee,Unlimited contract,51-100,Product,1670,Python; ,,,,,,
Software Architekt,20,Head,95000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Software Engineer,3.5,Junior,55000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,C++; ,,,,,,
Software Engineer,20,Self employed,200000,Self-employed (freelancer),,0-10,freelance,No,C++; ,.NET; ,,,,,
Backend Developer,10,Senior,85000,Full-time employee,Unlimited contract,101-1000,Startup,,Ruby; ,Ruby on rails; ,,,,,
Frontend Developer,5,Senior,68250,Full-time employee,Unlimited contract,101-1000,Product,,TypeScript; ,,,,,,
Software Engineer,7,Middle,63000,Full-time employee,Unlimited contract,51-100,Consulting / Agency,200,,.NET; ,,,,,
Frontend Developer,6,Middle,63000,Full-time employee,,101-1000,Startup,0,JavaScript; ,,,,,,
Software Engineer,7,Middle,63000,Full-time employee,Unlimited contract,101-1000,Product,0,Java; ,,,,,,
ML Engineer,5,Middle,65000,Full-time employee,Unlimited contract,1000+,Product,500,Scala; ,,,,,,
Software Engineer,12,Senior,75000,Full-time employee,Unlimited contract,1000+,Product,,,Angular; .NET; ,,,,,
,,,70000,,,,,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,,Lead,100000,Self-employed (freelancer),Temporary contract,0-10,Consulting / Agency,,,,,,,,
Testmanager,10,Junior,60000,Full-time employee,Unlimited contract,1000+,Product,No,Java; ,,,,,,
Project Manager,5,Middle,20000,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Project Manager,5,Middle,20000,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
QA Engineer,7,Senior,76000,Full-time employee,Unlimited contract,1000+,Product,0,Java; ,,,,,,
Mobile Developer,15,Senior,84700,Full-time employee,Unlimited contract,101-1000,Product,1200,,,,,,Android; ,
Software Engineer,3,Middle,52000,Full-time employee,Unlimited contract,011-050,Product,,,,,,,,
Data Analyst,16,Senior,95000,Full-time employee,Unlimited contract,1000+,Product,1000,No info,No info,No info,No info,No info,No info,No info
Data Scientist,4,Middle,50500,,Unlimited contract,1000+,Product,500,,,,,,,
SRE,10,,68000,Full-time employee,Unlimited contract,101-1000,Product,,,,,,,,Kubernetes; 
ERP Consultant,10,Lead,130000,Full-time employee,Unlimited contract,1000+,Product,0,,,,,,,
QA Engineer,8,Senior,55000,,,011-050,Product,no,Java; ,,,,,,
Software Engineer,10,Head,95000,Full-time employee,Unlimited contract,011-050,Startup,,Scala; ,,,,,,
Frontend Developer,5,Middle,55000,Full-time employee,Unlimited contract,101-1000,Product,,JavaScript; ,,,,,,
Head of Engineering,18,Head,90000,Full-time employee,Unlimited contract,51-100,Product,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,7,Senior,108500,Full-time employee,Unlimited contract,011-050,Startup,,PHP; ,,,,,,
Backend Developer,9,Senior,70000,Full-time employee,Unlimited contract,51-100,Product,,Java; ,,,,,,
Researcher/ Consumer Insights Analyst ,10,Senior,60000,Full-time employee,Unlimited contract,1000+,Product,0,,,,,,,
IT Operations Manager,15,Lead,110000,Full-time employee,Unlimited contract,101-1000,eCommerce,,PHP; ,,,,,,
Frontend Developer,7,Middle,38350,Full-time employee,Unlimited contract,101-1000,Product,0,JavaScript; ,,,,,,
DevOps,2,Middle,65000,Full-time employee,Unlimited contract,51-100,Startup,600,,,,yaml; ,,,
